,source,target,flags
20300,9982,N9971,10000
20301,9982,N9972,10000
20302,9982,T888XXA,10000
20303,99830,T8130XA,10000
20304,99831,T8132XA,10000
20305,99832,T8131XA,10000
20306,99833,T8133XA,10000
20307,9984,T81509A,10000
20308,9984,T81519A,10000
20309,9984,T81529A,10000
20310,9984,T81539A,10000
20311,99851,T814XXA,10000
20312,99859,K6811,10000
20313,99859,T814XXA,10000
20314,9986,T8183XA,10000
20315,9987,T8161XA,10000
20316,9987,T8169XA,10000
20317,99881,T8182XA,10000
20318,99882,H59029,10000
20319,99883,T8189XA,10000
20320,99889,T8189XA,10000
20321,9989,T819XXA,10000
20322,9990,T881XXA,10000
20323,9991,T800XXA,10000
20324,9992,T801XXA,10000
20325,99931,T80219A,10000
20326,99932,T80211A,10000
20327,99933,T80212A,10000
20328,99934,T8022XA,10000
20329,99939,T8029XA,10000
20330,99939,T880XXA,10000
20331,99941,T8051XA,10000
20332,99942,T8052XA,10000
20333,99949,T8059XA,10000
20334,99951,T8061XA,10000
20335,99952,T8062XA,10000
20336,99959,T8069XA,10000
20337,99960,T8030XA,10000
20338,99961,T80319A,10000
20339,99962,T80310A,10000
20340,99963,T80311A,10000
20341,99969,T8039XA,10000
20342,99970,T8040XA,10000
20343,99971,T80419A,10000
20344,99972,T80410A,10000
20345,99973,T80411A,10000
20346,99974,T8049XA,10000
20347,99975,T80A0XA,10000
20348,99976,T80A19A,10000
20349,99977,T80A10A,10000
20350,99978,T80A11A,10000
20351,99979,T80A9XA,10000
20352,99980,T8092XA,10000
20353,99981,T80810A,10000
20354,99982,T80818A,10000
20355,99983,T80919A,10000
20356,99984,T80910A,10000
20357,99985,T80911A,10000
20358,99988,T8089XA,10000
20359,99988,T8090XA,10000
20360,99989,T8089XA,10000
20361,9999,T888XXA,10000
20362,9999,T889XXA,10000
20363,E0000,Y990,0
20364,E0001,Y991,0
20365,E0002,Y992,0
20366,E0008,Y998,0
20367,E0009,Y999,0
20368,E0010,Y9301,0
20369,E0011,Y9302,0
20370,E0020,Y9311,0
20371,E0021,Y9312,0
20372,E0022,Y9313,0
20373,E0023,Y9314,0
20374,E0024,Y9315,0
20375,E0025,Y9316,0
